El recorrido 0, 27, 5, 11, 8, 4, 20, 1, 19, 9, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 26, 7, 23, 15, 12, 28, 25, 2 tiene longitud 10209
El recorrido 1, 20, 4, 8, 5, 11, 27, 0, 23, 26, 7, 15, 12, 9, 19, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 25, 28, 2 tiene longitud 10541
El recorrido 2, 28, 25, 4, 8, 5, 11, 27, 0, 23, 26, 7, 15, 12, 9, 19, 1, 20, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22 tiene longitud 10809
El recorrido 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 26, 7, 23, 0, 27, 5, 11, 8, 4, 20, 1, 19, 9, 12, 15, 28, 25, 2 tiene longitud 10620
El recorrido 4, 8, 5, 11, 27, 0, 23, 26, 7, 15, 12, 9, 19, 1, 20, 25, 28, 2, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22 tiene longitud 10923
El recorrido 5, 11, 8, 4, 20, 1, 19, 9, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 26, 7, 23, 0, 27, 12, 15, 28, 25, 2 tiene longitud 10704
El recorrido 6, 24, 18, 14, 3, 9, 19, 1, 20, 4, 8, 5, 11, 27, 0, 23, 26, 7, 15, 12, 17, 13, 21, 16, 10, 22, 25, 28, 2 tiene longitud 12714
El recorrido 7, 26, 23, 0, 27, 5, 11, 8, 4, 20, 1, 19, 9, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 15, 12, 28, 25, 2 tiene longitud 10645
El recorrido 8, 4, 20, 1, 19, 9, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 26, 7, 23, 0, 27, 5, 11, 25, 28, 2, 12, 15 tiene longitud 10716
El recorrido 9, 19, 1, 20, 4, 8, 5, 11, 27, 0, 23, 26, 7, 15, 12, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 25, 28, 2 tiene longitud 10845
El recorrido 10, 21, 13, 17, 14, 3, 9, 19, 1, 20, 4, 8, 5, 11, 27, 0, 23, 26, 7, 15, 12, 18, 24, 6, 22, 25, 28, 2, 16 tiene longitud 11245
El recorrido 11, 5, 27, 0, 23, 26, 7, 15, 12, 9, 19, 1, 20, 4, 8, 25, 28, 2, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22 tiene longitud 10509
El recorrido 12, 9, 19, 1, 20, 4, 8, 5, 11, 27, 0, 23, 26, 7, 15, 18, 24, 6, 22, 3, 14, 17, 13, 21, 16, 10, 28, 25, 2 tiene longitud 11612
El recorrido 13, 17, 14, 3, 9, 19, 1, 20, 4, 8, 5, 11, 27, 0, 23, 26, 7, 15, 12, 18, 24, 6, 22, 10, 21, 16, 28, 25, 2 tiene longitud 11771
El recorrido 14, 3, 9, 19, 1, 20, 4, 8, 5, 11, 27, 0, 23, 26, 7, 15, 12, 18, 24, 6, 22, 10, 21, 13, 17, 16, 28, 25, 2 tiene longitud 11678
El recorrido 15, 26, 7, 23, 0, 27, 5, 11, 8, 4, 20, 1, 19, 9, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 12, 28, 25, 2 tiene longitud 10958
El recorrido 16, 21, 13, 17, 14, 3, 9, 19, 1, 20, 4, 8, 5, 11, 27, 0, 23, 26, 7, 15, 12, 18, 24, 6, 22, 10, 28, 25, 2 tiene longitud 11775
El recorrido 17, 13, 21, 16, 14, 3, 9, 19, 1, 20, 4, 8, 5, 11, 27, 0, 23, 26, 7, 15, 12, 18, 24, 6, 22, 10, 28, 25, 2 tiene longitud 11875
