El recorrido 0, 21, 48, 31, 35, 34, 33, 38, 39, 37, 36, 47, 23, 4, 14, 5, 3, 24, 45, 43, 15, 49, 19, 22, 30, 17, 2, 18, 44, 40, 7, 9, 8, 42, 32, 50, 11, 27, 26, 25, 46, 12, 13, 51, 10, 28, 29, 20, 16, 41, 6, 1 tiene longitud 8980
El recorrido 1, 6, 41, 20, 30, 17, 21, 0, 48, 31, 35, 34, 33, 38, 39, 37, 36, 47, 23, 4, 14, 5, 3, 24, 45, 43, 15, 49, 19, 22, 29, 28, 46, 25, 26, 27, 11, 50, 10, 51, 12, 13, 42, 9, 8, 7, 40, 18, 44, 2, 16, 32 tiene longitud 10202
El recorrido 2, 17, 30, 21, 0, 48, 31, 35, 34, 33, 38, 39, 37, 36, 47, 23, 4, 14, 5, 3, 24, 45, 43, 15, 49, 19, 22, 29, 20, 16, 41, 6, 1, 28, 46, 25, 26, 27, 11, 50, 10, 51, 12, 13, 42, 9, 8, 7, 40, 18, 44, 32 tiene longitud 9708
El recorrido 3, 5, 4, 14, 23, 47, 37, 39, 36, 38, 35, 34, 33, 43, 45, 15, 49, 19, 22, 30, 17, 21, 0, 48, 31, 44, 18, 40, 7, 9, 8, 42, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 2, 16, 20, 29, 28, 41, 6, 1 tiene longitud 9456
El recorrido 4, 14, 5, 23, 47, 37, 39, 36, 38, 35, 34, 33, 43, 45, 15, 49, 19, 22, 30, 17, 21, 0, 48, 31, 44, 18, 40, 7, 9, 8, 42, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 2, 16, 20, 29, 28, 41, 6, 1 tiene longitud 9290
El recorrido 5, 4, 14, 23, 47, 37, 39, 36, 38, 35, 34, 33, 43, 45, 15, 49, 19, 22, 30, 17, 21, 0, 48, 31, 44, 18, 40, 7, 9, 8, 42, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 2, 16, 20, 29, 28, 41, 6, 1 tiene longitud 9317
El recorrido 6, 1, 41, 20, 30, 17, 21, 0, 48, 31, 35, 34, 33, 38, 39, 37, 36, 47, 23, 4, 14, 5, 3, 24, 45, 43, 15, 49, 19, 22, 29, 28, 46, 25, 26, 27, 11, 50, 10, 51, 12, 13, 42, 9, 8, 7, 40, 18, 44, 2, 16, 32 tiene longitud 10200
El recorrido 7, 40, 18, 44, 31, 48, 0, 21, 30, 17, 2, 16, 20, 22, 19, 49, 15, 43, 33, 34, 35, 38, 39, 37, 36, 47, 23, 4, 14, 5, 3, 24, 45, 28, 29, 41, 6, 1, 42, 9, 8, 32, 50, 11, 27, 26, 25, 46, 12, 13, 51, 10 tiene longitud 9504
El recorrido 8, 9, 7, 40, 18, 44, 31, 48, 0, 21, 30, 17, 2, 16, 20, 22, 19, 49, 15, 43, 33, 34, 35, 38, 39, 37, 36, 47, 23, 4, 14, 5, 3, 24, 45, 28, 29, 41, 6, 1, 42, 32, 50, 11, 27, 26, 25, 46, 12, 13, 51, 10 tiene longitud 9192
El recorrido 9, 8, 7, 40, 18, 44, 31, 48, 0, 21, 30, 17, 2, 16, 20, 22, 19, 49, 15, 43, 33, 34, 35, 38, 39, 37, 36, 47, 23, 4, 14, 5, 3, 24, 45, 28, 29, 41, 6, 1, 42, 32, 50, 11, 27, 26, 25, 46, 12, 13, 51, 10 tiene longitud 9112
El recorrido 10, 50, 11, 27, 26, 25, 46, 12, 13, 51, 24, 3, 5, 4, 14, 23, 47, 37, 39, 36, 38, 35, 34, 33, 43, 45, 15, 49, 19, 22, 30, 17, 21, 0, 48, 31, 44, 18, 40, 7, 9, 8, 42, 32, 2, 16, 20, 29, 28, 41, 6, 1 tiene longitud 10072
El recorrido 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 24, 3, 5, 4, 14, 23, 47, 37, 39, 36, 38, 35, 34, 33, 43, 45, 15, 49, 19, 22, 30, 17, 21, 0, 48, 31, 44, 18, 40, 7, 9, 8, 42, 32, 2, 16, 20, 29, 28, 41, 6, 1 tiene longitud 9461
El recorrido 12, 26, 27, 25, 46, 13, 51, 10, 50, 11, 24, 3, 5, 4, 14, 23, 47, 37, 39, 36, 38, 35, 34, 33, 43, 45, 15, 49, 19, 22, 30, 17, 21, 0, 48, 31, 44, 18, 40, 7, 9, 8, 42, 32, 2, 16, 20, 29, 28, 41, 6, 1 tiene longitud 9553
El recorrido 13, 12, 26, 27, 25, 46, 11, 50, 10, 51, 24, 3, 5, 4, 14, 23, 47, 37, 39, 36, 38, 35, 34, 33, 43, 45, 15, 49, 19, 22, 30, 17, 21, 0, 48, 31, 44, 18, 40, 7, 9, 8, 42, 32, 2, 16, 20, 29, 28, 41, 6, 1 tiene longitud 10258
El recorrido 14, 4, 23, 47, 37, 39, 36, 38, 35, 34, 33, 43, 45, 15, 49, 19, 22, 30, 17, 21, 0, 48, 31, 44, 18, 40, 7, 9, 8, 42, 3, 5, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 2, 16, 20, 29, 28, 41, 6, 1 tiene longitud 9323
El recorrido 15, 49, 19, 22, 30, 17, 21, 0, 48, 31, 35, 34, 33, 38, 39, 37, 36, 47, 23, 4, 14, 5, 3, 24, 45, 43, 28, 29, 20, 16, 2, 18, 44, 40, 7, 9, 8, 42, 32, 50, 11, 27, 26, 25, 46, 12, 13, 51, 10, 41, 6, 1 tiene longitud 9498
